Id,label
00000.png,1
00001.png,1
00002.png,2
00003.png,2
00004.png,3
00005.png,3
00006.png,4
00007.png,4
00008.png,4
00009.png,4
00010.png,4
00011.png,1
00012.png,2
00013.png,2
00014.png,2
00015.png,2
00016.png,2
00017.png,3
00018.png,3
00019.png,3
00020.png,3
00021.png,0
00022.png,0
00023.png,0
00024.png,4
00025.png,4
00026.png,4
00027.png,1
00028.png,1
00029.png,1
00030.png,2
00031.png,2
00032.png,3
00033.png,3
00034.png,4
00035.png,3
00036.png,0
00037.png,0
00038.png,0
00039.png,4
00040.png,4
00041.png,4
00042.png,4
00043.png,4
00044.png,1
00045.png,1
00046.png,1
00047.png,1
00048.png,2
00049.png,2
00050.png,2
00051.png,2
00052.png,3
00053.png,3
00054.png,3
00055.png,3
00056.png,0
00057.png,4
00058.png,4
00059.png,4
00060.png,2
00061.png,2
00062.png,2
00063.png,2
00064.png,2
00065.png,2
00066.png,0
00067.png,0
00068.png,4
00069.png,4
00070.png,4
00071.png,4
00072.png,4
00073.png,1
00074.png,1
00075.png,2
00076.png,2
00077.png,2
00078.png,2
00079.png,2
00080.png,0
00081.png,0
00082.png,0
00083.png,0
00084.png,0
00085.png,0
00086.png,1
00087.png,2
00088.png,2
00089.png,2
00090.png,2
00091.png,3
00092.png,3
00093.png,0
00094.png,0
00095.png,0
00096.png,4
00097.png,1
00098.png,1
00099.png,1
00100.png,1
00101.png,1
00102.png,2
00103.png,2
00104.png,2
00105.png,2
00106.png,2
00107.png,2
00108.png,2
00109.png,2
00110.png,3
00111.png,3
00112.png,3
00113.png,3
00114.png,3
00115.png,3
00116.png,3
00117.png,3
00118.png,3
00119.png,3
00120.png,3
00121.png,0
00122.png,0
00123.png,0
00124.png,0
00125.png,0
00126.png,0
00127.png,0
00128.png,4
00129.png,4
00130.png,1
00131.png,1
00132.png,1
00133.png,1
00134.png,2
00135.png,2
00136.png,3
00137.png,3
00138.png,3
00139.png,0
00140.png,0
00141.png,0
00142.png,0
00143.png,4
00144.png,4
00145.png,1
00146.png,2
00147.png,2
00148.png,2
00149.png,2
00150.png,2
00151.png,3
00152.png,3
00153.png,3
00154.png,4
00155.png,4
00156.png,1
00157.png,2
00158.png,2
00159.png,2
00160.png,2
00161.png,2
00162.png,3
00163.png,0
00164.png,0
00165.png,4
00166.png,4
00167.png,4
00168.png,4
00169.png,1
00170.png,1
00171.png,1
00172.png,2
00173.png,2
00174.png,2
00175.png,2
00176.png,2
00177.png,3
00178.png,3
00179.png,3
00180.png,0
00181.png,0
00182.png,0
00183.png,4
00184.png,4
00185.png,1
00186.png,1
00187.png,1
00188.png,2
00189.png,2
00190.png,3
00191.png,3
00192.png,3
00193.png,0
00194.png,4
00195.png,4
00196.png,4
00197.png,1
00198.png,1
00199.png,2
00200.png,2
00201.png,2
00202.png,2
00203.png,2
00204.png,3
00205.png,3
00206.png,3
00207.png,0
00208.png,0
00209.png,0
00210.png,4
00211.png,4
00212.png,4
00213.png,4
00214.png,4
00215.png,4
00216.png,4
00217.png,4
00218.png,4
00219.png,2
00220.png,1
00221.png,1
00222.png,1
00223.png,1
00224.png,1
00225.png,1
00226.png,0
00227.png,2
00228.png,2
00229.png,3
00230.png,3
00231.png,1
00232.png,2
00233.png,0
00234.png,0
00235.png,0
00236.png,0
00237.png,4
00238.png,4
00239.png,4
00240.png,4
00241.png,1
00242.png,1
00243.png,1
00244.png,1
00245.png,2
00246.png,0
00247.png,0
00248.png,0
00249.png,4
00250.png,2
00251.png,1
00252.png,2
00253.png,2
00254.png,2
00255.png,2
00256.png,2
00257.png,3
00258.png,1
00259.png,0
00260.png,0
00261.png,4
00262.png,4
00263.png,3
00264.png,1
00265.png,1
00266.png,2
00267.png,2
00268.png,2
00269.png,2
00270.png,3
00271.png,3
00272.png,0
00273.png,0
00274.png,0
00275.png,0
00276.png,4
00277.png,4
00278.png,1
00279.png,1
00280.png,2
00281.png,3
00282.png,3
00283.png,3
00284.png,3
00285.png,0
00286.png,0
00287.png,0
00288.png,4
00289.png,4
00290.png,4
00291.png,1
00292.png,1
00293.png,1
00294.png,2
00295.png,2
00296.png,2
00297.png,2
00298.png,2
00299.png,3
00300.png,3
00301.png,0
00302.png,1
00303.png,1
00304.png,1
00305.png,1
00306.png,2
00307.png,2
00308.png,2
00309.png,3
00310.png,3
00311.png,0
00312.png,1
00313.png,2
00314.png,2
00315.png,2
00316.png,3
00317.png,3
00318.png,3
00319.png,3
00320.png,3
00321.png,0
00322.png,0
00323.png,0
00324.png,1
00325.png,1
00326.png,1
00327.png,2
00328.png,2
00329.png,3
00330.png,2
00331.png,0
00332.png,4
00333.png,4
00334.png,4
00335.png,4
00336.png,4
00337.png,1
00338.png,1
00339.png,2
00340.png,2
00341.png,2
00342.png,2
00343.png,2
00344.png,2
00345.png,3
00346.png,3
00347.png,3
00348.png,3
00349.png,3
00350.png,3
00351.png,0
00352.png,4
00353.png,4
00354.png,4
00355.png,4
00356.png,1
00357.png,2
00358.png,2
00359.png,2
00360.png,0
00361.png,2
00362.png,3
00363.png,3
00364.png,3
00365.png,3
00366.png,0
00367.png,0
00368.png,4
00369.png,4
00370.png,4
00371.png,2
00372.png,3
00373.png,3
00374.png,3
00375.png,0
00376.png,0
00377.png,4
00378.png,4
00379.png,1
00380.png,1
00381.png,2
00382.png,2
00383.png,2
00384.png,2
00385.png,2
00386.png,2
00387.png,2
00388.png,3
00389.png,3
00390.png,3
00391.png,3
00392.png,3
00393.png,0
00394.png,0
00395.png,1
00396.png,1
00397.png,1
00398.png,3
00399.png,0
00400.png,0
00401.png,0
00402.png,4
00403.png,1
00404.png,2
00405.png,2
00406.png,2
00407.png,2
00408.png,2
00409.png,2
00410.png,3
00411.png,3
00412.png,3
00413.png,3
00414.png,3
00415.png,0
00416.png,0
00417.png,0
00418.png,4
00419.png,4
00420.png,1
00421.png,1
00422.png,1
00423.png,1
00424.png,2
00425.png,2
00426.png,3
00427.png,3
00428.png,3
00429.png,0
00430.png,0
00431.png,0
00432.png,4
00433.png,4
00434.png,4
00435.png,4
00436.png,4
00437.png,1
00438.png,2
00439.png,2
00440.png,2
00441.png,3
00442.png,3
00443.png,3
00444.png,3
00445.png,0
00446.png,0
00447.png,0
00448.png,0
00449.png,1
00450.png,4
00451.png,4
00452.png,1
00453.png,2
00454.png,2
00455.png,2
00456.png,2
00457.png,0
00458.png,3
00459.png,3
00460.png,3
00461.png,3
00462.png,0
